"","Line","habitat","watering","fertilization","WFtreatment","Plot","origin","SCT_CWM","Mass_CWM","SCP_CWM","Carbon_CWM","CN_CWM","Length_CWM","Starch_CWM","Shape_CWM","Disp_CWM","Texture_CWM","Compact_CWM","PC1_CWM","PC2_CWM","PC3_CWM","PC4_CWM","PC5_CWM","PC6_CWM","PC7_CWM","PC8_CWM","PC9_CWM","PC10_CWM","PC11_CWM","WFtreatment_order"
"166","4","Lush","none","none","C","60","Native",0.0963612112441638,-0.0703533734428908,0.00951757179022016,0.0390482259188792,1.38623504669252,0.0889227030837482,0,-0.189529580581687,0.0833333333333333,-0.123586823825155,0.223609323691008,0.00827033185948823,-0.0595144609076361,0.0203110238562147,0.0303173472970603,0.0502443564879907,-0.036464517362556,0.0207200949176357,0.0455294366374055,-0.0351434966059027,-0.03687882685561,-0.0338297788705931,"C"
"167","4","Lush","none","none","C","60","Non-Native",1.69205474087607,1.21739618668735,-0.834440262198233,0.383971822762165,22.1164831125779,1.6685761099606,0.916666666666667,-1.82920935677316,1.56666666666667,0.379166171292287,2.47059091452528,-3.01063534533314,0.769940370949965,0.867906939926786,0.309885741392068,-0.514138447754959,0.210307238534167,-0.591922828096065,0.904862937813544,-0.43292911631619,0.553104738048165,0.124715812940245,"C"
"168","4","Lush","none","none","C","60",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C"
"169","4","Lush","watered","none","W","61","Native",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W"
"170","4","Lush","watered","none","W","61","Non-Native",1.97413216233716,1.55233463175271,-0.973779403678475,0.420105797200083,24.0987567513829,1.87285612701271,1,-2.00505952296916,1.58333333333333,0.132634734013719,2.69766447102595,-3.21986954891019,1.08733925187813,0.747010774703982,0.215785251685517,-0.687207989735724,0.170814037265082,-0.456850953480149,1.05938424696129,-0.492687510128798,0.544526623214413,0.127459536933771,"W"
"171","4","Lush","watered","none","W","61",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"W"
"172","6b","Harsh","none","fertilized","N","101","Native",1.37182958340848,0.119395593839143,1.33222530511263,0.359630272237114,13.7790845397848,0.6052831899379,0.0285714285714286,-2.23259573147376,0.0571428571428571,-0.938244849063258,2.07702674885302,0.342533668691047,-0.0265886236250996,-0.489644056724826,1.41571927604835,-0.493122669004138,-0.54180515158549,0.505645034062905,-0.331105003422251,-0.27243024608954,-0.257392851207064,-0.045393032665085,"N"
"173","6b","Harsh","none","fertilized","N","101","Non-Native",0.296598390017475,0.170949862684138,-0.110324985334576,0.0962550993057796,3.92738634534442,0.517613334545287,0.228571428571429,-0.395798613760774,0.228571428571429,0.058850892169947,0.604067711611716,-0.646697509402733,-0.0162887145581099,0.133122688076519,-0.0935539510316844,-0.168769043221141,-0.209772171608797,-0.250080482580187,0.042616132898147,-0.0389383638976208,-0.0011415508924788,-0.0794177870755992,"N"
"174","6b","Harsh","none","fertilized","N","101",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"175","6b","Harsh","none","none","C","103","Native",1.78283260783237,0.328356619373007,0.330978880237233,0.378448034240475,13.7025826770287,0.877317749698989,0,-2.25459493523211,0.916666666666667,-1.56938475463227,2.20175976666199,-0.157812119768036,0.343506088968938,-0.689307402740649,0.409665833188492,0.348681097551132,-0.133226702207967,0.927265927877296,0.106079818429594,-0.52351391505303,0.220059015425296,-0.0558853505716662,"C"
"176","6b","Harsh","none","none","C","103","Non-Native",0.428174419288838,0.43210082179032,-0.211373194374033,0.0709665613042755,3.9945687798483,0.352800604936737,0.166666666666667,-0.341566118282815,0.166666666666667,-0.195134008884217,0.451523671364517,-0.486811453514158,0.372489586505985,-0.0299595827465597,-0.0585632803129457,-0.21219917899445,-0.0168435155507873,0.0698822119912405,0.232428501397982,-0.0978865981676262,0.0452499391247307,0.0145992406628552,"C"
"177","6b","Harsh","none","none","C","103",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C"
"178","6b","Harsh","watered","fertilized","WN","100","Native",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WN"
