"IDnum","clean_code","H","L","LH_L","W","area_LW","Perimeter1","Hue","PCof19WL","texture","Rectangularity1","LH_Circle","LW_Circle","Compactness Ellipse","BetaShape_a","BetaShape_b","Saturation","LH_area","Org.Filename","Org.Filename2","shape"
11,"CALPAU",1.06355,3.013391,2.924762,1.329437,2.757149,6.44777,1.065918,7.764307,0.141255,0.7249817,0.3095936,0.4199776,0.9742963,1.814245,1.370464,5.214389,2.120884,"CALPAU_LW_Amy1","CALPAU_LH_Amy1",0.0798481645828806
11,"CALPAU",1.196493,3.013391,3.013391,1.285123,2.770895,6.580714,1.262145,6.856527,0.1479195,0.7521322,0.3016672,0.4236579,0.9771869,1.749812,1.363115,3.166919,2.215145,"CALPAU_LW_Amy1","CALPAU_LH_Amy1",0.0798481645828806
11,"CALPAU",1.196493,2.880447,3.190649,1.418066,2.914251,6.625028,1.095565,7.911495,0.1506008,0.7484556,0.3215518,0.4721378,0.9567232,1.818625,1.30605,6.412281,2.556843,"CALPAU_LW_Amy1","CALPAU_LH_Amy1",0.0798481645828806
11,"CALPAU",1.107864,3.146334,3.190649,1.506695,3.218637,6.979545,0.8932843,7.18722,0.1070434,0.7095238,0.326955,0.4635254,0.9659513,2.044788,1.437212,5.615112,2.568626,"CALPAU_LW_Amy1","CALPAU_LH_Amy1",0.0798481645828806
11,"CALPAU",1.152179,3.323593,3.057705,1.418066,3.269696,7.201118,1.259615,7.424963,0.1254152,0.7258065,0.3477055,0.4177428,0.9755923,1.877006,1.418733,7.470861,2.598083,"CALPAU_LW_Amy1","CALPAU_LH_Amy1",0.0798481645828806
11,"CALPAU",1.240808,3.013391,3.057705,1.55101,3.271659,6.757972,1.16944,7.790977,0.0850275,0.7388708,0.357662,0.507326,0.9681163,1.89133,1.377936,7.020367,2.625576,"CALPAU_LW_Amy1","CALPAU_LH_Amy1",0.0798481645828806
11,"CALPAU",1.329437,3.58948,2.924762,1.373752,3.420907,7.75505,1.069419,7.16373,0.1138333,0.7258334,0.396218,0.3619224,0.9614921,1.87384,1.334259,6.528997,2.686453,"CALPAU_LW_Amy1","CALPAU_LH_Amy1",0.0798481645828806
11,"CALPAU",1.285123,3.146334,3.190649,1.772583,3.485712,7.245432,1.235507,7.469561,0.2639091,0.6782695,0.3623229,0.4903389,0.9522035,1.896204,1.298765,5.841146,2.81999,"CALPAU_LW_Amy1","CALPAU_LH_Amy1",0.0798481645828806
11,"CALPAU",1.196493,3.146334,3.58948,1.55101,3.538734,7.090331,1.162594,7.545616,0.1644645,0.7571428,0.2905105,0.4842291,0.9732372,1.856791,1.381074,7.268002,2.873012,"CALPAU_LW_Amy1","CALPAU_LH_Amy1",0.0798481645828806
16,"CHLPOM",1.949841,4.032626,3.811053,2.437301,7.128526,9.704891,1.379624,4.262434,0.2499818,0.7868733,0.4576485,0.5584878,0.9698282,1.616119,1.294351,7.896867,5.284535,"CHLPOM_LW_Amy1","CHLPOM_LH_Amy1",0.0338082289778339
16,"CHLPOM",2.082785,3.943997,3.811053,2.61456,7.32294,9.505475,1.559923,4.859124,0.1840004,0.7306035,0.5098497,0.6544882,0.9797337,1.890707,1.481064,4.887999,5.869742,"CHLPOM_LW_Amy1","CHLPOM_LH_Amy1",0.0338082289778339
16,"CHLPOM",2.392987,3.943997,3.678109,2.525931,7.33865,9.771363,1.517852,4.97367,0.1611269,0.7583198,0.6255555,0.5962418,0.9702528,1.7515,1.336507,5.999228,6.364615,"CHLPOM_LW_Amy1","CHLPOM_LH_Amy1",0.0338082289778339
16,"CHLPOM",2.348672,3.633795,3.855368,2.703189,7.354361,9.062329,1.332637,4.065116,0.3823867,0.7852642,0.5430667,0.7282735,0.9849852,1.62049,1.347679,7.887967,6.401927,"CHLPOM_LW_Amy1","CHLPOM_LH_Amy1",0.0338082289778339
16,"CHLPOM",2.082785,3.633795,4.387143,2.703189,7.456477,9.527633,1.401391,4.040814,0.2421225,0.7812757,0.4298234,0.7158101,0.9724417,1.508274,1.249857,7.898609,6.468695,"CHLPOM_LW_Amy1","CHLPOM_LH_Amy1",0.0338082289778339
16,"CHLPOM",2.437301,4.121255,3.58948,2.525931,7.646964,9.88215,1.317306,4.636026,0.8547848,0.756714,0.6815575,0.5900864,0.9742279,1.769603,1.385529,7.447828,6.551174,"CHLPOM_LW_Amy1","CHLPOM_LH_Amy1",0.0338082289778339
16,"CHLPOM",2.304358,3.943997,4.032626,2.969076,8.426585,9.727048,1.328358,4.404641,1.491689,0.7638629,0.5416272,0.7683229,0.9853142,1.871258,1.613576,7.543247,6.633653,"CHLPOM_LW_Amy1","CHLPOM_LH_Amy1",0.0338082289778339
16,"CHLPOM",2.703189,3.722424,3.545166,3.057705,8.493354,9.837834,1.429602,4.310909,0.2523248,0.7875811,0.7501233,0.7733781,0.9854259,1.657358,1.364095,7.780207,7.004807,"CHLPOM_LW_Amy1","CHLPOM_LH_Amy1",0.0338082289778339
16,"CHLPOM",2.525931,4.387143,4.076941,2.836133,8.723116,10.52471,1.558729,4.920105,0.2430382,0.7473191,0.5877593,0.6171337,0.9673263,1.848672,1.358417,7.467226,7.309194,"CHLPOM_LW_Amy1","CHLPOM_LH_Amy1",0.0338082289778339
